address,available_bike_stands,available_bikes,banking,bike_stands,bonus,contract_name,last_update,name,number,position,status,scrape_datetime
Upper Sherrard Street,5,25,False,30,False,Dublin,2018-03-02 23:44:44,UPPER SHERRARD STREET,44,"{'lat': 53.358437, 'lng': -6.260641}",CLOSED,02-03-2018 23:46:48
Fitzwilliam Square East,35,5,True,40,False,Dublin,2018-03-02 23:41:04,FITZWILLIAM SQUARE EAST,89,"{'lat': 53.335211, 'lng': -6.2509}",CLOSED,02-03-2018 23:46:48
Grattan Street,21,2,False,23,False,Dublin,2018-03-02 23:39:17,GRATTAN STREET,57,"{'lat': 53.339629, 'lng': -6.243778}",CLOSED,02-03-2018 23:46:48
St James Hospital (Luas),11,29,False,40,False,Dublin,2018-03-02 23:38:40,ST JAMES HOSPITAL (LUAS),80,"{'lat': 53.341359, 'lng': -6.292951}",CLOSED,02-03-2018 23:46:48
Harcourt Terrace,16,4,False,20,False,Dublin,2018-03-02 23:41:06,HARCOURT TERRACE,41,"{'lat': 53.332763, 'lng': -6.257942}",CLOSED,02-03-2018 23:46:48
Bolton Street,19,1,False,20,False,Dublin,2018-03-02 23:44:10,BOLTON STREET,3,"{'lat': 53.351182, 'lng': -6.269859}",CLOSED,02-03-2018 23:46:48
Strand Street Great,33,2,True,35,False,Dublin,2018-03-02 23:39:04,STRAND STREET GREAT,46,"{'lat': 53.347082, 'lng': -6.2641919999999995}",CLOSED,02-03-2018 23:46:48
Jervis Street,19,2,True,21,False,Dublin,2018-03-02 23:37:05,JERVIS STREET,40,"{'lat': 53.3483, 'lng': -6.2666509999999995}",CLOSED,02-03-2018 23:46:48
Ormond Quay Upper,29,0,True,29,False,Dublin,2018-03-02 23:39:19,ORMOND QUAY UPPER,29,"{'lat': 53.346057, 'lng': -6.268001}",CLOSED,02-03-2018 23:46:48
Barrow Street,16,24,True,40,False,Dublin,2018-03-02 23:42:33,BARROW STREET,70,"{'lat': 53.341655, 'lng': -6.236198}",CLOSED,02-03-2018 23:46:48
Mountjoy Square West,12,18,False,30,False,Dublin,2018-03-02 23:40:39,MOUNTJOY SQUARE WEST,28,"{'lat': 53.356299, 'lng': -6.258586}",CLOSED,02-03-2018 23:46:48
Wilton Terrace,5,15,True,20,False,Dublin,2018-03-02 23:46:00,WILTON TERRACE,39,"{'lat': 53.332383, 'lng': -6.252717}",CLOSED,02-03-2018 23:46:48
Emmet Road,22,18,False,40,False,Dublin,2018-03-02 23:39:06,EMMET ROAD,83,"{'lat': 53.340714, 'lng': -6.308191}",CLOSED,02-03-2018 23:46:48
Heuston Bridge (North),23,17,False,40,False,Dublin,2018-03-02 23:38:15,HEUSTON BRIDGE (NORTH),92,"{'lat': 53.347802, 'lng': -6.292432}",CLOSED,02-03-2018 23:46:48
Leinster Street South,9,21,False,30,False,Dublin,2018-03-02 23:43:36,LEINSTER STREET SOUTH,21,"{'lat': 53.34218, 'lng': -6.254485}",CLOSED,02-03-2018 23:46:48
Blackhall Place,14,16,False,30,False,Dublin,2018-03-02 23:44:53,BLACKHALL PLACE,88,"{'lat': 53.3488, 'lng': -6.281637}",CLOSED,02-03-2018 23:46:48
